model,fold,target,AUC,AP,LogLoss,pos_valid,n_valid
Logistic Regression,4,target_4,0.7822192513368983,0.3831884265390169,0.7599983598593295,40,414
MultinomialNB,4,target_1,0.6597938144329897,0.4331399148876666,0.9565733656346739,123,414
MultinomialNB,4,target_2,0.7613691931540343,0.31797301236049175,0.5566181446587171,5,414
MultinomialNB,4,target_3,0.6331417624521074,0.2638260687755277,1.133801252409475,66,414
MultinomialNB,4,target_4,0.7526069518716578,0.36024941536320726,1.1013832040837632,40,414
Random Forest,4,target_1,0.6877322381471238,0.4407221568983838,0.5720630557040867,123,414
Random Forest,4,target_2,0.8139364303178485,0.29987121212121215,0.06121496521606072,5,414
Random Forest,4,target_3,0.6770289097875305,0.25711178321194417,0.415579817523517,66,414
Random Forest,4,target_4,0.7221256684491979,0.33950161783607136,0.30625092512870505,40,414
Gradient Boosting,4,target_1,0.6492889671164753,0.40565787396416086,0.6389034202154604,123,414
Gradient Boosting,4,target_2,0.8229828850855746,0.15949472096530923,0.05988445561973417,5,414
Gradient Boosting,4,target_3,0.5911703239289446,0.22874338140441006,0.4976909593391378,66,414
Gradient Boosting,4,target_4,0.7200534759358288,0.34414680287658955,0.4280380531555938,40,414
AdaBoost,4,target_1,0.5956052859497667,0.3736956190641682,0.68988881724224,123,414
AdaBoost,4,target_2,0.7369193154034229,0.294800556368927,0.5142055506795257,5,414
AdaBoost,4,target_3,0.5258185301288749,0.17444279934550544,0.6825583961590344,66,414
AdaBoost,4,target_4,0.6349598930481284,0.17134857940743858,0.6782497033759166,40,414
Decision Tree,4,target_1,0.5301734976112648,0.31124072110286316,5.706407121761477,123,414
Decision Tree,4,target_2,0.4731051344743276,0.012077294685990338,0.9010124929096529,5,414
Decision Tree,4,target_3,0.4954284221525601,0.15823789736833213,4.304833688346183,66,414
Decision Tree,4,target_4,0.6086229946524064,0.1363999869434652,2.8031478668296317,40,414
K-Nearest Neighbors,4,target_1,0.5350627217612383,0.3121087963171638,1.2095144183301765,123,414
K-Nearest Neighbors,4,target_2,0.676039119804401,0.16724637681159424,0.12377369565874505,5,414
K-Nearest Neighbors,4,target_3,0.5217258794845002,0.16652692937277916,1.4631877839705403,66,414
K-Nearest Neighbors,4,target_4,0.7203542780748663,0.200197686244597,0.4576852818022355,40,414
Support Vector Machine,4,target_1,0.6448607269577851,0.408662113609918,0.5835231456807007,123,414
Support Vector Machine,4,target_2,0.784841075794621,0.3248212196270914,0.05102973404927399,5,414
Support Vector Machine,4,target_3,0.6057122953674678,0.24514470290984178,0.4320858598415605,66,414
Support Vector Machine,4,target_4,0.738168449197861,0.35247041039579285,0.28425797395190305,40,414
LDA,4,target_1,0.6448746961696421,0.39437566504744853,0.7070810953381816,123,414
LDA,4,target_2,0.7393643031784841,0.2917436398766322,0.17418911408322582,5,414
LDA,4,target_3,0.6259578544061303,0.21483009525659433,0.5805549390056396,66,414
LDA,4,target_4,0.7477272727272728,0.4045953392799578,0.33492731492741784,40,414
MLP (Neural Network),4,target_1,0.6305422848042913,0.3963485453314922,1.0937436432730558,123,414
MLP (Neural Network),4,target_2,0.7466992665036675,0.3635906142527535,0.06206785705406063,5,414
MLP (Neural Network),4,target_3,0.5581243469174504,0.19697429983467218,0.7167945349601197,66,414
MLP (Neural Network),4,target_4,0.7068181818181819,0.36579410623395153,0.35931053456343054,40,414
